dtidx,id,px
5010,sec_8,1093.48
5011,sec_8,1109.3
5012,sec_8,1110.32
5013,sec_8,1109.8
5014,sec_8,1094.9
5015,sec_8,1091.38
5016,sec_8,1106.24
5017,sec_8,1105.65
5018,sec_8,1110.63
5019,sec_8,1091.49
5020,sec_8,1095.63
5021,sec_8,1108.86
5022,sec_8,1109.23
5023,sec_8,1099.92
5024,sec_8,1105.98
5025,sec_8,1103.25
5026,sec_8,1091.94
5027,sec_8,1095.95
5028,sec_8,1102.35
5029,sec_8,1106.41
5030,sec_8,1114.11
5031,sec_8,1107.93
5032,sec_8,1109.18
5033,sec_8,1096.08
5034,sec_8,1102.47
5035,sec_8,1114.05
5036,sec_8,1118.02
5037,sec_8,1120.59
5038,sec_8,1126.48
5039,sec_8,1127.78
5040,sec_8,1126.2
5041,sec_8,1126.42
5042,sec_8,1115.1
5043,sec_8,1132.98
5044,sec_8,1136.52
5045,sec_8,1137.14
5046,sec_8,1141.69
5047,sec_8,1144.98
5048,sec_8,1146.98
5049,sec_8,1136.22
5050,sec_8,1145.68
5051,sec_8,1148.46
5052,sec_8,1136.03
5053,sec_8,1150.23
5054,sec_8,1138.04
5055,sec_8,1116.48
5056,sec_8,1091.76
5057,sec_8,1096.79
5058,sec_8,1092.17
5059,sec_8,1097.5
5060,sec_8,1084.53
5061,sec_8,1073.87
5062,sec_8,1089.19
5063,sec_8,1103.32
5064,sec_8,1097.28
5065,sec_8,1063.11
5066,sec_8,1066.19
5067,sec_8,1056.74
5068,sec_8,1070.52
5069,sec_8,1068.13
5070,sec_8,1078.47
5071,sec_8,1075.51
5072,sec_8,1094.87
5073,sec_8,1099.51
5074,sec_8,1106.75
5075,sec_8,1109.17
5076,sec_8,1108.02
5077,sec_8,1094.6
5078,sec_8,1105.24
5079,sec_8,1102.94
5080,sec_8,1104.49
5081,sec_8,1115.71
5082,sec_8,1118.31
5083,sec_8,1118.79
5084,sec_8,1122.97
5085,sec_8,1138.7
5086,sec_8,1138.51
5087,sec_8,1140.45
5088,sec_8,1145.61
5089,sec_8,1150.24
5090,sec_8,1149.99
5091,sec_8,1150.51
5092,sec_8,1159.46
5093,sec_8,1166.21
5094,sec_8,1165.83
5095,sec_8,1159.9
5096,sec_8,1165.81
5097,sec_8,1174.17
5098,sec_8,1167.72
5099,sec_8,1165.73
5100,sec_8,1166.59
5101,sec_8,1173.22
