DATE,VALUE
1973-11-27,6.4516
1973-11-28,6.4516
1973-11-29,6.4516
1973-11-30,6.4516
1973-12-03,6.6313
1973-12-04,6.6313
1973-12-05,6.6313
1973-12-06,6.4935
1973-12-07,6.4935
1973-12-10,6.4935
1973-12-11,6.4935
1973-12-12,6.6445
1973-12-13,6.6445
1973-12-14,6.6445
1973-12-17,6.6445
1973-12-18,6.7385
1973-12-19,6.7568
1973-12-20,6.7568
1973-12-21,6.7568
1973-12-24,6.7568
1973-12-25,.
1973-12-26,6.7568
1973-12-27,6.6667
1973-12-28,6.6667
1973-12-31,6.6667
1974-01-01,.
1974-01-02,6.6667
1974-01-03,6.7431
1974-01-04,6.7568
1974-01-07,6.7568
1974-01-08,6.7568
1974-01-09,6.7568
1974-01-10,6.7568
1974-01-11,6.7568
1974-01-14,7.0175
1974-01-15,7.0175
1974-01-16,7.0175
1974-01-17,7.0175
1974-01-18,7.0028
1974-01-21,7.0028
1974-01-22,7.0028
1974-01-23,7.0028
1974-01-24,7.0028
1974-01-25,7.0028
1974-01-28,7.1429
1974-01-29,7.1429
1974-01-30,7.1429
1974-01-31,7.1429
1974-02-01,7.0175
1974-02-04,7.0175
1974-02-05,7.0175
1974-02-06,7.0175
1974-02-07,7.0175
1974-02-08,6.9204
1974-02-11,6.9204
1974-02-12,.
1974-02-13,6.9686
1974-02-14,6.9686
1974-02-15,6.9013
1974-02-18,.
1974-02-19,6.9013
1974-02-20,6.9013
1974-02-21,6.9444
1974-02-22,6.9444
1974-02-25,6.9444
1974-02-26,6.9444
1974-02-27,6.9444
1974-02-28,6.9444
1974-03-01,6.9444
1974-03-04,6.9444
1974-03-05,6.9444
1974-03-06,6.9444
1974-03-07,6.8027
1974-03-08,6.9444
1974-03-11,6.9444
1974-03-12,6.9444
1974-03-13,6.9444
1974-03-14,6.9444
1974-03-15,6.8493
1974-03-18,6.8493
1974-03-19,6.8493
1974-03-20,6.8493
1974-03-21,6.8493
1974-03-22,6.6667
1974-03-25,6.6667
1974-03-26,6.6667
1974-03-27,6.6667
1974-03-28,6.6667
1974-03-29,6.6445
1974-04-01,6.6445
1974-04-02,6.6357
1974-04-03,6.6357
1974-04-04,6.6357
1974-04-05,6.6225
1974-04-08,6.6225
1974-04-09,6.6225
1974-04-10,6.6225
1974-04-11,6.6225
1974-04-12,6.5789
1974-04-15,6.5789
1974-04-16,6.5574
1974-04-17,6.5789
1974-04-18,6.5789
1974-04-19,6.5789
1974-04-22,6.5789
1974-04-23,6.5789
1974-04-24,6.5574
1974-04-25,6.5789
1974-04-26,6.5789
1974-04-29,6.5789
1974-04-30,6.5789
1974-05-01,6.5789
1974-05-02,6.5789
1974-05-03,6.5789
1974-05-06,6.5789
1974-05-07,6.5574
1974-05-08,6.5574
1974-05-09,6.5574
1974-05-10,6.5789
1974-05-13,6.5789
1974-05-14,6.5789
1974-05-15,6.5789
1974-05-16,6.5789
1974-05-17,6.6007
1974-05-20,6.6007
1974-05-21,6.6007
1974-05-22,6.6007
1974-05-23,6.4725
1974-05-24,6.4725
1974-05-27,.
1974-05-28,6.4725
